User ID,User Name,Email,Phone,Designation,Department,Request ID,Quantity,Request Status
1,akshay vardhan,thor78599@gmail.com,9999888777,software developer,cse,1,2,APPROVED
1,akshay vardhan,thor78599@gmail.com,9999888777,software developer,cse,2,2,REJECTED
1,akshay vardhan,thor78599@gmail.com,9999888777,software developer,cse,4,1,APPROVED
1,akshay vardhan,thor78599@gmail.com,9999888777,software developer,cse,5,2,REJECTED
1,akshay vardhan,thor78599@gmail.com,9999888777,software developer,cse,6,2,APPROVED
1,akshay vardhan,thor78599@gmail.com,9999888777,software developer,cse,7,1,APPROVED
1,akshay vardhan,thor78599@gmail.com,9999888777,software developer,cse,8,1,APPROVED
1,akshay vardhan,thor78599@gmail.com,9999888777,software developer,cse,9,2,APPROVED
1,akshay vardhan,thor78599@gmail.com,9999888777,software developer,cse,10,1,APPROVED
1,akshay vardhan,thor78599@gmail.com,9999888777,software developer,cse,11,1,APPROVED
1,akshay vardhan,thor78599@gmail.com,9999888777,software developer,cse,12,1,APPROVED
1,akshay vardhan,thor78599@gmail.com,9999888777,software developer,cse,13,1,APPROVED
1,akshay vardhan,thor78599@gmail.com,9999888777,software developer,cse,14,1,APPROVED
1,akshay vardhan,thor78599@gmail.com,9999888777,software developer,cse,15,1,APPROVED
1,akshay vardhan,thor78599@gmail.com,9999888777,software developer,cse,16,2,APPROVED
1,akshay vardhan,thor78599@gmail.com,9999888777,software developer,cse,17,1,APPROVED
1,akshay vardhan,thor78599@gmail.com,9999888777,software developer,cse,18,1,APPROVED
1,akshay vardhan,thor78599@gmail.com,9999888777,software developer,cse,19,2,APPROVED
1,akshay vardhan,thor78599@gmail.com,9999888777,software developer,cse,20,1,APPROVED
